Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,8,0,38,8.9,2.8,35.297,9.561,6249875.101,5264380.754
1,1,9,8,109,9.1,2.9,109.199,11.158,20964609.41,19754843.8
1,1,10,30,162,9.2,3.1,174.447,12.403,33841387.41,32435363.33
1,1,11,5,188,9.5,3.3,184.914,12.853,35549247.13,34117193.1
1,1,12,2,173,9.9,3.4,182.473,13.187,34587099.45,33169709.77
1,1,13,0,135,10.2,3.6,128.726,12.418,24497385.82,23233776.21
1,1,14,0,130,10.1,3.1,115.448,12.171,22063250.56,20836740.27
1,1,15,0,94,9.9,2.6,87.352,11.619,16579252.9,15436325.7
1,1,16,0,34,9.8,2.1,30.838,10.454,5363088.631,4391110.037
1,2,8,0,24,8.4,1.4,20.211,8.894,3503201.903,2559570.348
1,2,9,0,71,10.2,0.7,62.026,12.038,11601111.49,10534057.5
1,2,10,0,111,12.0,0.0,96.847,15.552,18136239.57,16969581.92
1,2,11,1,163,12.2,0.0,157.654,18.253,29512562.42,28172515.14
1,2,12,5,199,12.4,0.0,211.281,20.602,39083767.97,37597843.35
1,2,13,9,208,12.6,0.0,206.311,20.535,38644970.86,37165734.06
1,2,14,29,159,12.4,0.0,171.296,18.855,32388783.52,31004898.97
1,2,15,10,104,12.2,0.0,105.273,16.141,19787055.3,18595237.12
1,2,16,0,34,12.0,0.0,30.554,13.109,5263973.784,4293505.826
1,3,8,0,24,13.7,7.9,20.211,13.898,3423818.993,2481397.335
1,3,9,0,70,13.5,8.6,61.003,14.07,11305925.61,10243370.63
1,3,10,0,109,13.4,9.3,94.951,14.237,17862546.53,16700060.31
1,3,11,2,161,13.2,8.4,156.106,14.755,29620903.59,28279205.05
1,3,12,5,198,13.0,7.6,210.292,15.279,39700373.0,38205050.53
1,3,13,9,208,12.8,6.7,206.517,15.225,39486718.59,37994652.49
1,3,14,110,172,12.5,6.0,244.985,15.604,47598957.81,45983250.86
1,3,15,125,126,12.1,5.3,229.968,15.321,44808649.13,43235470.04
1,3,16,65,51,11.8,4.6,95.614,13.244,17383608.7,16228422.1
1,4,8,82,49,12.1,2.2,96.596,14.246,17569050.83,16411037.86
1,4,9,154,130,12.7,2.3,254.116,18.313,49136873.08,47497726.34
1,4,10,251,172,13.4,2.3,341.604,20.904,65825162.15,63931664.67
1,4,11,265,211,14.1,2.4,364.792,21.969,69577568.69,67626879.77
1,4,12,269,225,14.7,2.5,372.914,22.59,70180616.85,68220736.7
1,4,13,265,211,15.4,2.6,364.877,22.987,69325051.95,67378211.7
1,4,14,251,171,14.6,3.8,340.715,20.421,65774151.77,63881431.75
1,4,15,158,127,13.8,5.0,252.835,17.488,49051122.94,47413283.15
1,4,16,50,51,13.0,6.2,90.25,14.122,16339626.22,15200351.23
1,5,8,0,38,11.6,7.9,35.371,11.951,6197070.308,5212380.773
1,5,9,8,109,11.4,7.5,109.242,12.552,20858560.64,19650411.35
1,5,10,29,163,11.2,7.2,175.258,13.117,33903606.14,32496633.77
1,5,11,5,188,11.2,7.5,184.387,13.198,35391427.31,33961778.65
1,5,12,2,175,11.2,7.9,184.704,13.146,35000003.93,33576321.06
1,5,13,0,137,11.2,8.2,131.308,12.53,24976696.86,23705781.93
1,5,14,0,133,11.1,8.4,117.986,12.227,22550561.64,21316624.1
1,5,15,0,98,11.1,8.5,91.004,11.967,17282596.46,16128949.41
1,5,16,0,38,11.0,8.7,35.071,11.324,6170986.043,5186694.066
1,6,8,142,48,10.7,6.1,125.822,12.31,23342181.55,22096178.72
1,6,9,409,92,11.3,7.2,399.513,15.973,79215193.7,77117615.11
1,6,10,569,116,12.0,8.2,496.115,17.231,98055575.81,95670845.84
1,6,11,663,111,12.6,8.4,489.254,17.632,96061375.02,93707039.21
1,6,12,677,116,13.2,8.5,469.328,17.951,91254020.23,88972954.62
1,6,13,664,111,13.8,8.7,488.66,18.695,95555240.37,93208618.7
1,6,14,651,91,13.3,8.2,519.632,18.803,102279516.1,99830407.91
1,6,15,531,78,12.7,7.7,469.246,17.951,92740176.1,90436459.58
1,6,16,275,44,12.2,7.2,177.984,14.259,33395891.54,31996657.38
1,7,8,290,45,8.3,1.2,182.383,13.461,34230357.17,32818404.69
1,7,9,666,53,10.9,2.4,527.331,22.732,102695331.8,100239886.1
1,7,10,784,66,13.6,3.6,575.483,24.024,111362197.9,108774658.1
1,7,11,839,70,14.5,2.4,542.559,26.39,103442599.9,100975764.8
1,7,12,851,74,15.3,1.2,516.555,29.77,96489147.81,94128292.2
1,7,13,834,72,16.2,0.0,540.147,37.657,98504026.29,96112461.37
1,7,14,779,66,15.7,0.0,570.005,38.632,104168236.6,101690341.9
1,7,15,643,59,15.3,0.0,522.069,36.525,96338685.11,93980122.74
1,7,16,314,43,14.8,0.0,191.139,22.439,34911975.43,33489634.22
1,8,8,285,45,10.1,0.7,181.066,15.927,33660339.24,32257074.56
1,8,9,654,55,12.1,1.4,523.009,26.531,100379675.8,97959523.58
1,8,10,767,69,14.2,2.1,570.167,27.594,108817409.2,106268655.2
1,8,11,825,73,14.8,2.1,540.214,27.34,102590504.5,100136656.4
1,8,12,837,76,15.4,2.1,513.114,27.21,96810815.48,94445057.24
1,8,13,822,74,16.0,2.1,536.919,28.45,101494968.9,99057818.17
1,8,14,770,68,15.5,2.1,567.555,28.825,107773903.1,105241053.4
1,8,15,639,60,14.9,2.1,521.829,27.277,99852843.58,97440720.96
1,8,16,318,44,14.4,2.1,195.836,18.972,36368725.31,34924181.38
1,9,8,256,46,13.2,3.4,173.498,16.401,32140715.85,30760612.16
1,9,9,588,64,14.2,4.3,494.478,22.368,96276419.19,93918805.83
1,9,10,701,82,15.2,5.1,546.899,23.243,105986848.6,103481236.0
1,9,11,757,88,15.7,5.1,521.054,23.272,100360076.4,97940222.87
1,9,12,768,93,16.1,5.1,496.952,23.267,95060729.46,92721644.76
1,9,13,753,90,16.6,5.1,517.744,24.114,99358178.43,96953595.14
1,9,14,699,82,16.2,4.3,541.452,25.035,104170790.0,101692856.4
1,9,15,575,70,15.8,3.4,492.5,25.059,94915261.02,92578393.44
1,9,16,285,47,15.4,2.6,190.553,19.441,35329349.02,33900646.51
1,10,8,159,48,14.1,3.3,131.82,16.548,24141490.61,22883305.29
1,10,9,405,91,14.5,3.5,399.038,21.85,77409520.97,75339463.13
1,10,10,527,120,14.9,3.7,474.284,23.281,91550001.33,89264424.59
1,10,11,511,172,14.9,3.4,470.904,23.52,90073734.11,87810657.56
1,10,12,541,176,15.0,3.0,467.102,24.09,88483000.54,86244168.8
1,10,13,632,123,15.0,2.7,487.768,25.066,92998773.54,90691115.67
1,10,14,497,144,14.3,2.0,476.202,25.569,90986070.45,88709088.73
1,10,15,470,87,13.6,1.3,436.762,25.814,83686208.87,81520486.33
1,10,16,238,49,12.9,0.5,178.192,18.972,33050129.54,31656165.23
1,11,8,0,30,14.5,3.3,25.311,14.93,4322731.692,3366609.461
1,11,9,0,100,14.9,3.4,93.145,16.503,17383478.32,16228293.71
1,11,10,8,174,15.4,3.6,164.226,18.147,31024251.81,29661164.46
1,11,11,12,214,15.6,3.6,213.882,19.301,40268893.98,38764906.53
1,11,12,12,228,15.8,3.6,245.209,20.084,45649178.99,44063189.15
1,11,13,12,215,16.0,3.6,216.865,19.76,40739161.73,39228006.8
1,11,14,8,157,15.7,3.6,145.825,18.131,27424814.13,26116586.79
1,11,15,0,90,15.3,3.6,80.981,16.643,15027433.94,13908158.44
1,11,16,0,28,15.0,3.6,23.594,15.384,4052592.315,3100587.352
1,12,8,0,35,14.5,2.9,30.925,15.066,5329752.329,4358281.823
1,12,9,20,120,15.5,3.3,130.138,17.815,24521379.5,23257404.19
1,12,10,135,179,16.4,3.6,270.424,21.098,51590892.09,49914342.99
1,12,11,81,239,16.6,3.3,284.373,21.797,53612626.82,51905263.91
1,12,12,63,254,16.8,2.9,299.259,22.67,55608361.24,53870580.8
1,12,13,52,234,17.0,2.6,263.868,22.433,49416854.63,47773440.62
1,12,14,39,186,16.5,2.8,204.723,20.467,38642576.84,37163376.53
1,12,15,15,122,15.9,2.9,126.73,18.296,23805931.48,22552860.51
1,12,16,0,46,15.4,3.1,43.297,16.175,7626898.692,6620416.754
1,13,8,74,50,12.5,2.9,95.742,14.372,17462521.36,16306132.03
1,13,9,30,119,13.3,3.8,146.27,15.739,27926884.5,26611004.97
1,13,10,0,115,14.2,4.6,100.496,15.639,18825794.91,17648627.56
1,13,11,0,142,14.9,5.1,135.498,16.798,25350643.26,24074028.91
1,13,12,0,152,15.5,5.7,159.269,17.604,29504960.08,28165028.66
1,13,13,0,144,16.2,6.2,139.361,17.926,25951992.54,24666212.87
1,13,14,0,118,15.8,5.3,102.861,17.147,19153778.8,17971612.55
1,13,15,0,78,15.4,4.5,68.226,16.389,12587841.95,11505748.93
1,13,16,0,30,15.0,3.6,25.289,15.412,4370974.154,3414116.646
1,14,8,0,41,11.5,3.5,38.839,12.151,6858623.551,5863851.104
1,14,9,8,113,10.9,4.8,113.363,12.513,21684601.84,20463862.63
1,14,10,30,169,10.2,6.2,182.773,12.419,35475115.65,34044191.48
1,14,11,141,226,11.3,4.8,310.915,15.899,60205692.25,58397842.64
1,14,12,295,226,12.3,3.5,394.048,19.349,75342980.47,73304419.34
1,14,13,447,186,13.4,2.1,450.955,23.762,85909078.57,83709476.67
1,14,14,410,150,13.6,4.3,430.614,20.527,83586937.72,81422728.19
1,14,15,309,111,13.8,6.5,345.854,18.095,67789080.64,65865650.55
1,14,16,72,66,14.0,8.7,120.542,15.186,22405832.78,21174101.1
1,15,8,248,48,10.3,2.3,177.017,14.255,33230112.86,31833405.38
1,15,9,394,107,11.9,2.4,415.469,21.102,80838935.13,78716608.66
1,15,10,458,137,13.4,2.6,455.706,23.017,87855606.52,85626337.06
1,15,11,422,197,13.9,4.1,453.248,21.35,87151636.55,84933096.49
1,15,12,429,211,14.5,5.7,451.1,20.528,86395791.73,84188771.7
1,15,13,427,200,15.0,7.2,454.988,20.192,87786038.72,85557829.56
1,15,14,520,130,14.8,6.3,479.847,20.881,93311936.49,90999505.62
1,15,15,413,112,14.6,5.5,431.73,20.629,84239374.78,82065221.28
1,15,16,265,57,14.4,4.6,207.845,17.64,39270898.3,37782121.57
1,16,8,250,50,9.2,3.9,181.38,12.304,34362639.71,32948671.08
1,16,9,567,75,10.2,3.3,503.5,19.823,98967803.72,96569170.24
1,16,10,737,77,11.2,2.6,576.384,23.504,111603241.4,109012027.8
1,16,11,803,85,12.1,3.3,559.302,22.578,108006573.1,105470177.2
1,16,12,850,78,12.9,3.9,539.804,22.062,104172972.0,101695005.1
1,16,13,852,73,13.8,4.6,563.852,22.534,108910691.8,106360516.0
1,16,14,816,65,13.6,3.8,602.277,24.18,116309776.5,113646829.3
1,16,15,684,64,13.4,2.9,565.063,24.922,109239380.8,106684195.4
1,16,16,429,44,13.2,2.1,263.418,19.403,50014895.17,48362366.26
1,17,8,354,43,6.5,0.0,210.135,14.909,39730220.62,38234443.23
1,17,9,652,65,9.3,0.0,551.624,31.72,103812356.9,101339886.3
1,17,10,807,64,12.2,0.0,609.014,36.732,112144808.2,109545340.5
1,17,11,856,72,12.7,0.0,576.192,35.605,105903831.2,103399483.9
1,17,12,868,75,13.3,0.0,549.065,34.96,100846367.0,98419101.83
1,17,13,856,73,13.8,0.0,568.366,36.349,104062898.0,101586608.8
1,17,14,812,66,13.6,0.0,602.482,37.835,110318519.2,107746886.4
1,17,15,659,71,13.4,0.0,561.509,36.103,103884936.0,101411359.1
1,17,16,406,49,13.2,0.0,262.97,23.789,49121679.77,47482764.6
1,18,8,249,50,10.5,4.6,182.615,13.337,34538252.1,33121606.92
1,18,9,540,75,11.3,5.1,488.017,18.537,96342463.9,93983843.94
1,18,10,632,101,12.0,5.7,541.186,19.383,106184590.2,103675963.7
1,18,11,685,113,12.5,6.2,526.873,19.225,102768884.5,100312317.7
1,18,12,699,119,12.9,6.7,505.921,18.984,98344756.94,95955619.48
1,18,13,691,114,13.4,7.2,522.814,19.404,101811785.2,99369805.86
1,18,14,648,102,12.7,6.5,541.238,19.45,106048820.7,103542263.5
1,18,15,536,88,11.9,5.8,497.814,18.644,98228863.75,95841492.66
1,18,16,289,60,11.2,5.1,227.825,14.538,43883302.2,42324226.57
1,19,8,106,54,7.1,1.5,113.824,10.046,21413863.93,20197251.11
1,19,9,86,134,8.1,3.1,204.423,11.962,40175917.4,38673347.02
1,19,10,32,175,9.2,4.6,190.594,12.006,37078260.97,35622902.82
1,19,11,37,215,9.8,3.9,235.225,13.704,45383377.52,43801438.83
1,19,12,38,231,10.4,3.3,262.64,15.216,49964952.81,48313185.09
1,19,13,38,220,11.0,2.6,242.949,16.0,46426375.35,44828540.05
1,19,14,105,195,10.8,2.9,254.914,15.708,49409400.25,47766099.85
1,19,15,119,150,10.6,3.3,253.727,15.255,49584821.88,47938847.84
1,19,16,84,75,10.4,3.6,139.355,12.847,26469372.85,25175707.65
1,20,8,0,29,9.0,4.1,24.448,9.369,4309620.733,3353698.329
1,20,9,0,78,9.8,5.2,68.518,10.709,12944581.18,11857051.0
1,20,10,0,121,10.6,6.2,105.94,11.851,20171146.39,18973474.17
1,20,11,81,221,10.7,6.4,267.215,13.96,51775643.35,50096278.4
1,20,12,244,248,10.9,6.5,394.227,15.704,76205877.78,74154164.99
1,20,13,468,191,11.0,6.7,475.382,16.71,92935197.3,90628508.42
1,20,14,370,195,10.5,6.0,445.155,16.259,87593066.26,85367798.24
1,20,15,326,138,9.9,5.3,394.171,15.488,78142439.98,76061211.53
1,20,16,232,65,9.4,4.6,200.147,12.511,38775152.91,37293931.97
1,21,8,0,46,7.8,4.1,44.364,8.483,8058692.027,7045629.01
1,21,9,10,121,7.8,4.1,123.026,9.727,23871777.93,22617703.38
1,21,10,33,177,7.8,4.1,193.372,10.85,37791007.77,36324786.45
1,21,11,37,218,7.8,4.1,238.533,11.647,46377719.34,44780625.62
1,21,12,38,234,7.8,4.1,265.988,12.123,51193518.61,49523025.98
1,21,13,38,223,7.8,4.1,246.529,11.793,47855527.95,46235910.55
1,21,14,5,177,8.3,5.0,162.061,10.522,31434616.31,30065274.48
1,21,15,0,105,8.7,5.8,94.972,9.879,18224824.48,17056816.68
1,21,16,0,38,9.2,6.7,32.074,9.555,5810550.903,4831752.416
1,22,8,64,56,9.5,5.0,101.989,10.967,19061376.56,17880618.64
1,22,9,143,143,9.7,5.0,268.06,13.597,52846905.64,51151213.29
1,22,10,300,175,10.0,5.1,390.052,15.606,76816890.07,74755864.68
1,22,11,148,238,10.8,4.9,331.25,15.637,64209378.04,62340507.17
1,22,12,37,236,11.6,4.8,267.64,15.556,50845933.69,49180738.7
1,22,13,0,155,12.4,4.6,151.627,14.68,28610534.28,27284235.06
1,22,14,0,130,11.9,4.3,113.458,13.591,21468492.66,20251047.23
1,22,15,0,89,11.3,3.9,78.254,12.535,14748324.09,13633302.57
1,22,16,0,39,10.8,3.6,32.922,11.338,5931391.123,4950750.877
1,23,8,0,47,9.1,3.3,45.17,9.885,8181020.649,7166093.188
1,23,9,10,123,9.5,3.4,124.953,11.673,24075941.44,22818755.18
1,23,10,34,180,10.0,3.6,197.23,13.349,38191042.49,36718724.13
1,23,11,108,236,10.3,3.4,299.65,15.695,57857807.84,56085742.97
1,23,12,194,257,10.5,3.3,378.12,17.463,72387177.15,70393666.21
1,23,13,316,223,10.8,3.1,419.157,18.801,80846631.63,78724187.86
1,23,14,413,168,10.9,3.4,458.189,19.304,89212721.21,86962767.59
1,23,15,468,104,11.1,3.8,469.635,19.312,92268544.02,89972015.78
1,23,16,305,67,11.2,4.1,255.966,15.491,49581253.46,47935333.81
1,23,17,0,13,10.3,2.7,10.944,10.474,1170264.755,262190.129
1,24,8,379,46,7.7,4.4,234.937,11.481,45511088.88,43927203.71
1,24,9,667,66,9.3,4.8,577.379,18.214,114427352.2,111793095.6
1,24,10,804,72,10.8,5.1,634.501,20.143,124345762.7,121560336.9
1,24,11,859,75,11.3,4.4,601.671,20.886,116867243.0,114195799.3
1,24,12,854,82,11.9,3.8,569.306,21.702,109862260.7,107297581.9
1,24,13,799,92,12.4,3.1,574.63,23.482,110295054.8,107723779.6
1,24,14,765,80,12.2,3.1,600.672,23.945,115805502.5,113150241.0
1,24,15,622,84,12.0,3.1,563.352,23.053,109516187.1,106956782.9
1,24,16,430,53,11.8,3.1,304.275,17.791,58893330.1,57105482.56
1,24,17,0,15,10.8,3.1,12.645,10.988,1358075.572,447138.47
1,25,8,267,54,7.0,3.8,202.652,10.532,39185275.25,37697803.53
1,25,9,519,89,8.8,4.4,500.71,16.906,99430123.33,97024443.51
1,25,10,645,104,10.6,5.1,568.013,18.927,111545393.8,108955061.8
1,25,11,409,224,11.1,4.3,482.011,18.795,93410362.29,91096431.29
1,25,12,310,243,11.7,3.4,431.231,19.534,82402528.86,80256371.24
1,25,13,150,250,12.2,2.6,346.383,19.371,66080176.55,64182792.32
1,25,14,59,228,12.1,3.4,260.936,16.702,50210134.68,48554630.07
1,25,15,44,147,11.9,4.3,183.439,14.743,35444735.67,34014274.52
1,25,16,0,67,11.8,5.1,65.122,12.685,12036852.56,10963157.32
1,25,17,0,11,10.8,4.1,9.244,10.918,978350.592,73200.982
1,26,8,0,50,8.7,1.0,48.36,10.033,8807747.046,7783267.478
1,26,9,11,127,9.3,2.1,129.654,12.137,24971288.87,23700456.38
1,26,10,34,184,10.0,3.1,201.433,13.703,38953281.96,37469346.11
1,26,11,38,226,10.7,3.8,248.073,14.878,47643338.88,46026955.51
1,26,12,39,243,11.3,4.4,276.573,15.611,52539542.62,50848534.88
1,26,13,39,233,12.0,5.1,258.635,15.669,49461945.62,47817844.37
1,26,14,119,224,12.0,4.1,295.994,16.742,57259114.02,55496174.01
1,26,15,235,151,12.0,3.1,349.136,18.698,68056744.27,66129234.64
1,26,16,254,73,12.0,2.1,232.205,17.414,44639874.3,43069267.55
1,26,17,0,14,10.7,2.1,11.789,10.91,1262378.546,352899.988
1,27,8,321,54,6.5,0.0,226.79,15.585,43308307.35,41757995.38
1,27,9,640,66,9.1,0.0,564.337,32.011,106128528.3,103620756.3
1,27,10,743,82,11.8,0.0,612.769,36.404,112703415.2,110095433.6
1,27,11,793,92,12.7,0.7,591.717,31.689,110126191.7,107557490.2
1,27,12,809,96,13.7,1.4,567.928,28.876,106481413.4,103968262.9
1,27,13,805,92,14.6,2.1,586.258,28.145,110484683.5,107910518.1
1,27,14,767,83,14.1,2.4,611.84,27.621,116235426.6,113573612.5
1,27,15,664,74,13.7,2.8,587.367,25.839,113054408.5,110441077.3
1,27,16,446,55,13.2,3.1,326.697,19.641,63082842.05,61231141.02
1,27,17,0,17,12.1,2.1,14.801,12.365,1590841.306,676356.558
1,28,8,0,51,13.9,4.3,49.001,14.635,8776266.393,7752266.63
1,28,9,10,128,14.3,4.4,129.544,16.245,24543669.74,23279354.7
1,28,10,32,186,14.6,4.6,202.095,17.574,38483634.82,37006856.99
1,28,11,36,227,14.5,5.1,248.1,18.003,47052940.4,45445555.45
1,28,12,37,244,14.3,5.7,276.724,17.963,52070353.61,50386496.9
1,28,13,36,234,14.2,6.2,258.402,17.423,49046976.75,47409200.15
1,28,14,33,198,14.1,6.2,211.803,16.674,40447484.69,38940775.29
1,28,15,25,141,14.1,6.2,150.184,15.915,28656500.33,27329500.52
1,28,16,1,71,14.0,6.2,69.287,14.829,12759700.48,11674988.11
1,29,8,49,61,11.7,4.6,91.59,13.074,17035106.19,15885231.21
1,29,9,262,126,12.3,4.1,346.023,18.049,67743427.57,65820693.29
1,29,10,441,165,13.0,3.6,495.228,21.826,95698231.6,93349430.56
1,29,11,569,160,13.7,3.6,528.046,23.085,101061655.2,98631108.77
1,29,12,642,150,14.5,3.6,533.478,23.944,101418560.0,98982573.84
1,29,13,689,129,15.2,3.6,561.895,25.184,106792276.0,104274387.6
1,29,14,350,195,14.9,3.1,440.792,23.335,84241383.2,82067199.1
1,29,15,101,151,14.5,2.6,240.436,19.445,46103714.85,44510797.3
1,29,16,0,47,14.2,2.1,39.863,15.047,7171101.997,6171566.981
1,30,8,188,62,10.2,6.2,174.904,12.433,33568253.46,32166392.29
1,30,9,270,135,10.4,5.1,364.112,15.692,71971872.56,69984691.39
1,30,10,314,181,10.6,4.1,414.091,17.399,80979196.61,78854732.38
1,30,11,148,253,11.2,3.9,351.449,17.083,67697168.4,65775139.16
1,30,12,38,250,11.8,3.8,283.871,16.617,53700069.96,51991374.3
1,30,13,1,166,12.4,3.6,164.215,15.25,30918697.99,29557219.41
1,30,14,0,141,12.3,3.6,124.618,14.37,23531187.97,22282304.43
1,30,15,0,100,12.1,3.6,88.243,13.558,16622511.3,15478924.79
1,30,16,0,48,12.0,3.6,40.777,12.668,7424303.913,6420909.778
1,31,8,0,56,7.3,5.8,54.687,7.982,10151796.38,9106831.786
1,31,9,11,134,7.7,5.0,136.424,9.594,26577896.93,25282577.68
1,31,10,34,192,8.2,4.1,209.662,11.507,40884003.43,39370640.93
1,31,11,6,222,8.7,4.4,218.465,12.061,42121911.7,40589681.9
1,31,12,3,208,9.1,4.8,219.046,12.328,41711539.26,40185564.06
1,31,13,1,167,9.6,5.1,165.337,11.934,31529368.89,30158582.91
1,31,14,0,142,9.6,4.6,125.744,11.412,24022958.73,22766579.99
1,31,15,0,101,9.6,4.1,89.108,10.967,16965474.99,15816661.27
1,31,16,0,49,9.6,3.6,41.688,10.283,7680593.662,6673293.345
2,1,8,46,67,9.0,10.3,99.163,9.851,18785452.82,17608900.33
2,1,9,82,156,10.0,5.1,228.205,13.24,44747141.12,43174899.48
2,1,10,132,217,12.2,8.2,314.934,15.42,61385525.53,59559693.76
2,1,11,137,266,12.0,9.3,357.054,15.355,69178422.3,67233816.87
2,1,12,138,286,12.0,9.3,379.282,15.578,72780995.29,70781482.07
2,1,13,138,275,13.2,14.4,367.062,15.64,70896061.49,68925277.06
2,1,14,133,233,12.0,5.1,325.295,16.609,63007993.96,61157433.71
2,1,15,121,167,12.0,9.3,273.302,14.558,53578978.48,51872128.41
2,1,16,55,93,11.6,8.7,137.501,12.948,26377497.54,25085232.64
2,1,17,0,14,11.0,5.1,11.674,11.131,1248268.129,339004.632
2,2,8,244,65,6.0,4.1,219.734,9.671,43063471.03,41516890.67
2,2,9,152,160,7.0,5.1,297.315,11.273,59265299.23,57471782.4
2,2,10,22,203,7.8,6.2,199.687,10.212,39034756.54,37549578.91
2,2,11,43,266,7.9,5.6,292.086,11.809,56872789.57,55115737.63
2,2,12,59,306,8.0,5.1,353.16,13.059,68023270.93,66096271.48
2,2,13,156,266,9.0,4.1,369.479,15.051,71558549.58,69577667.98
2,2,14,133,235,9.0,4.1,327.851,14.305,64041279.35,62174970.51
2,2,15,120,169,10.0,2.1,274.994,16.248,53562338.46,51855742.01
2,2,16,56,95,9.8,3.1,140.737,12.46,27090153.68,25787026.98
2,2,17,0,19,8.0,4.1,16.202,8.209,1784133.372,866702.607
2,3,8,12,63,8.0,2.1,68.13,9.498,12737117.09,11652748.93
2,3,9,62,151,10.0,0.0,206.003,17.953,39510097.9,38017675.46
2,3,10,130,217,12.0,3.1,314.042,17.92,60602145.84,58788253.77
2,3,11,296,245,12.0,0.0,444.189,29.467,82189158.78,80046253.18
2,3,12,463,227,13.0,3.1,515.153,22.903,97621651.5,95243535.09
2,3,13,636,161,15.8,0.0,572.241,38.444,103007843.3,100547634.5
2,3,14,693,109,15.0,0.0,606.031,39.29,109645707.4,107084329.1
2,3,15,644,86,17.0,5.1,600.272,25.855,115366946.9,112718369.6
2,3,16,479,61,14.8,0.0,380.97,30.262,71200539.2,69225114.14
2,3,17,21,24,13.0,0.0,32.006,14.041,3623749.458,2678280.605
2,4,8,0,61,8.0,0.0,59.423,10.215,11009629.28,9951590.222
2,4,9,12,140,10.0,0.0,141.947,15.344,27074405.66,25771518.98
2,4,10,34,199,11.6,0.0,215.406,19.764,40687677.34,39177307.09
2,4,11,69,254,12.0,2.1,296.499,18.734,56308947.01,54560488.76
2,4,12,92,288,12.0,0.0,354.897,25.899,65204948.22,63320903.59
2,4,13,137,278,14.4,2.6,371.53,22.125,69971817.77,68015119.99
2,4,14,98,232,13.0,5.1,291.108,17.098,56029150.96,54284957.15
2,4,15,58,162,13.0,2.1,207.489,17.646,39767737.25,38271388.07
2,4,16,5,84,13.6,0.0,84.298,16.765,15601767.78,14473738.7
2,4,17,0,14,12.0,2.1,11.67,12.214,1294738.456,384766.693
2,5,8,0,62,10.0,2.1,60.273,11.312,11134112.66,10074176.32
2,5,9,12,141,12.0,2.1,142.762,15.137,27254950.82,25949312.41
2,5,10,33,200,14.0,4.1,215.655,17.415,41096942.71,39580334.74
2,5,11,37,243,13.0,5.1,264.886,16.763,50451258.85,48792079.21
2,5,12,51,253,13.0,5.1,293.973,17.208,55486465.52,53750542.93
2,5,13,37,251,13.8,5.1,276.59,17.747,52388356.82,50699653.34
2,5,14,13,212,13.0,2.1,201.496,17.428,38171535.97,36699514.92
2,5,15,6,146,13.0,2.1,138.419,16.018,26241105.51,24950919.39
2,5,16,0,71,13.0,2.1,64.851,14.405,11991561.08,10918556.14
2,5,17,0,11,13.0,0.0,9.152,13.3,1104126.222,197059.632
2,6,8,0,63,12.0,0.0,61.109,14.278,11166879.15,10106443.41
2,6,9,12,142,13.0,0.0,143.551,18.402,27053973.45,25751398.19
2,6,10,33,201,14.8,3.1,216.589,18.797,41047514.58,39531659.96
2,6,11,189,265,13.0,2.1,392.649,21.978,74349759.68,72326336.49
2,6,12,402,248,13.0,2.1,505.17,24.622,94841970.23,92506219.7
2,6,13,584,194,16.6,2.1,578.091,29.95,107375583.3,104848804.6
2,6,14,747,93,14.0,2.1,631.585,28.792,119095930.0,116390518.2
2,6,15,698,78,14.0,2.1,637.698,29.032,121102916.1,118366915.4
2,6,16,518,62,15.8,2.1,419.774,25.763,80156071.31,78044152.55
2,6,17,99,26,13.0,2.1,71.378,14.492,9588824.482,8552440.301
2,7,7,0,13,8.4,0.0,10.854,8.734,1170286.437,262211.481
2,7,8,282,78,10.0,0.0,263.801,20.561,50130976.24,48476678.12
2,7,9,465,123,12.0,2.1,516.92,24.114,99768830.57,97357988.42
2,7,10,444,176,14.0,3.1,520.995,24.077,99657454.07,97248309.44
2,7,11,429,217,13.0,2.1,513.893,24.846,97149858.19,94778932.51
2,7,12,365,254,14.0,2.1,490.677,25.275,91745112.35,89456561.87
2,7,13,306,256,15.8,2.1,462.763,26.432,86396207.98,84189181.6
2,7,14,268,234,14.0,4.1,433.763,21.107,83178211.53,81020231.51
2,7,15,246,172,14.0,5.1,386.829,19.583,75141345.03,73105857.08
2,7,16,198,93,14.6,3.1,248.797,19.435,47847561.37,46228065.39
2,7,17,14,25,13.0,2.6,32.009,13.587,4205318.396,3250985.693
2,8,8,186,81,11.0,0.0,211.935,19.424,40159957.07,38657629.96
2,8,9,496,114,12.0,0.0,531.61,33.377,99075405.22,96675131.75
2,8,10,697,115,14.4,2.1,647.84,29.576,121908655.7,119160374.4
2,8,11,782,107,14.0,2.1,635.568,28.766,119247400.5,116539680.2
2,8,12,812,103,14.0,2.1,614.348,28.198,115155904.8,112510544.0
2,8,13,804,100,15.8,5.1,627.83,24.926,119393947.2,116683993.3
2,8,14,724,108,14.0,3.1,639.466,26.482,121505189.7,118763057.8
2,8,15,607,101,14.0,5.1,601.057,22.849,116627357.7,113959570.2
2,8,16,420,74,14.6,5.1,377.86,20.203,73537745.68,71526698.62
2,8,17,102,25,13.0,4.1,70.955,14.094,10324498.09,9276901.308
